"Sample","YrBP","Abies","Cupressaceae","Larix","Picea","Pinus","Tsuga","Acer","Alnus","Betula","Carya","Corylus","Fagus","Fraxinus","Ostrya.Carpinus","Quercus","Tilia","Ulmus","Ambrosia","Artemisia","Asteraceae","Amarantaceae","Poaceae"
"Lily7",600,0.0658914728682171,0,0,0.0775193798449612,0.143410852713178,0.0174418604651163,0.00968992248062015,0.0174418604651163,0.585271317829457,0,0.00968992248062015,0.00193798449612403,0.00581395348837209,0,0.0155038759689922,0.00387596899224806,0.00581395348837209,0.0232558139534884,0.0116279069767442,0.00193798449612403,0.00387596899224806,0
"Lily8",700,0.0658914728682171,0,0,0.0775193798449612,0.143410852713178,0.0174418604651163,0.00968992248062015,0.0174418604651163,0.585271317829457,0,0.00968992248062015,0.00193798449612403,0.00581395348837209,0,0.0155038759689922,0.00387596899224806,0.00581395348837209,0.0232558139534884,0.0116279069767442,0.00193798449612403,0.00387596899224806,0
"Lily9",800,0.0628573967430102,0,0.000478468899521531,0.0621582117968771,0.137154240041968,0.0159607030453758,0.0091621031895343,0.019557164635641,0.622917330654663,0,0.0122642061925706,0.00130451587966244,0.00391354763898731,0.000478468899521531,0.0122638426681058,0.00260903175932487,0.00453714617713604,0.0182937143471714,0.00940763161516641,0.00192811441781117,0.00275416139795207,0
"Lily10",900,0.0604508194306357,0,0.000526031831669814,0.0553603227062012,0.136577701638128,0.0152147083277589,0.00943801748623698,0.0209356504367217,0.639223055780649,0,0.0112436036578608,0.00101866086300644,0.00299114953413565,0.000526031831669814,0.0118252205259381,0.00197248867112921,0.00396529853471056,0.0163093113077474,0.00804092825962768,0.00196039333613952,0.00238818931259247,3.24165274418373e-05
"Lily11",1000,0.0587001832309881,0,0.000498942917547569,0.052157361464648,0.14150825309527,0.0144097396923679,0.0101264527659413,0.0224256269085237,0.641254783789656,0,0.00998046446072406,0.000975295905273954,0.00257529166344742,0.000498942917547569,0.0123612652556391,0.00159725978006129,0.00372480129706003,0.0155347240246882,0.00747738078895807,0.00194677153458716,0.00206979249182694,0.000176666015243307
"Lily12",1100,0.0580383431798054,0,0.000473110552161936,0.0514066512151011,0.152742546809687,0.0135447000546999,0.0103276734120431,0.0235141916919548,0.635032950848082,0,0.0085945167271576,0.000819263575761524,0.00225645587021922,0.000473110552161936,0.0130574369241937,0.00120418870517613,0.0035106171983969,0.014157658795946,0.00710749798835943,0.00177706655081535,0.00168888112806802,0.000273138220209032
"Lily13",1200,0.0572005805859558,0,0.000530680132900299,0.050743297648217,0.160879541755564,0.012412143098169,0.010277519021605,0.0245173710492196,0.632497182429117,0,0.00722355740910912,0.000616976132362891,0.00187270239924273,0.000455927051671733,0.0137602262450262,0.000828608943886808,0.00332960554425259,0.0130297010231003,0.00640299112539294,0.00156102554003853,0.00146623746234785,0.000394125402820703
"Lily14",1300,0.056285590077503,2.32290735084031e-05,0.000541673645705763,0.0533901195228379,0.171192543102266,0.011395723747826,0.0105485685489224,0.0247179018478691,0.620816163841283,0.000122508455736699,0.00522108844475654,0.000590899830835851,0.00195491801677134,0.000423297071341764,0.0157656113279939,0.000620279181782446,0.00349991709342732,0.0132505123056634,0.006158428943087,0.00129570419569877,0.00164624694410256,0.000539074781081482
"Lily15",1400,0.0549313137617969,0.000276832219169093,0.000694536881967036,0.0567577907780139,0.183120467954567,0.0102989636659847,0.0106348471415645,0.0242269808563475,0.604617495048821,0.000287865236381526,0.00386915429196369,0.000580928998085468,0.00229288488529356,0.00148380205284606,0.0178075274755977,0.000474622631556504,0.00387830041946973,0.0139506576628498,0.00619992147114823,0.00101211789075089,0.00184047087761283,0.000762517798211844
"Lily16",1500,0.0531533173243467,0.000501957927402249,0.000981158688712983,0.0601949761868332,0.195522045652747,0.00951320509506801,0.0102171505644039,0.0232259810470032,0.589441532883872,0.00042530998954593,0.00296466090061565,0.0005154362088248,0.00276983169429487,0.00235941757680888,0.0196976038232689,0.000365362614754362,0.00426068251899764,0.0140325017093001,0.00605826330305306,0.000784423126368167,0.00212798476034556,0.000887196403433125
"Lily17",1600,0.0504875792168019,0.00086669646007869,0.00136770461225192,0.0617613693324753,0.204575128880278,0.00874325956001185,0.00979198913829139,0.0213817487120348,0.57949293526782,0.000577027064316029,0.0025196960363462,0.000573161564295306,0.00331405033578805,0.00328347481167372,0.0217699475320097,0.000297324458629606,0.00481903117491274,0.0142752542799238,0.00593311820141764,0.000640689489281934,0.00254649375038363,0.000982320120978149
"Lily18",1700,0.0483921154334666,0.00122319006960585,0.00165545111574337,0.0622388357405846,0.219143197303811,0.00827060720447686,0.0094380087282801,0.0186521894547698,0.56447160500439,0.00072622111381764,0.00234963816212135,0.000701180030559349,0.00391161641936462,0.004199877015589,0.0239317943441348,0.000224406743573862,0.00547671796782491,0.0140862606411886,0.0063861194405933,0.000584918961593485,0.00290877507146496,0.00102727403304683
"Lily19",1800,0.0470800472999513,0.00152847577443105,0.00184683845733888,0.0608064651973807,0.236269960153138,0.00797496739535239,0.00871317903532927,0.015906666558595,0.551169671422114,0.000698312851642815,0.00242183814154408,0.000714678513262923,0.00429497643712589,0.00499299671492963,0.0251997855220549,0.000201861481313336,0.00596793408119854,0.0127752444693571,0.00677530885877802,0.000734911940620867,0.00291817710283488,0.0010077025917064
"Lily20",1900,0.0471346148547286,0.00149109019574175,0.0019642083702636,0.0587739478503983,0.256585641051632,0.00774894707596646,0.00787914681075244,0.0132072680474188,0.537663714528279,0.00057746512291916,0.00247173622590666,0.000726876351070065,0.00452008722624443,0.00418627859473587,0.0264841254622146,0.000200583585243387,0.00622009138118017,0.0104433602780311,0.00701323695876706,0.000952574678124524,0.00292540208821891,0.000829603262162804
"Lily21",2000,0.0485087198426863,0.00146720116576477,0.00189214358374155,0.0562879913526472,0.276384885191868,0.00735411805330244,0.00742722131376588,0.0102447252643001,0.523538167869419,0.000472080555929451,0.00244999609589358,0.000777406396727667,0.00457049425445809,0.00349252037180481,0.0275740135693393,0.000221296974214035,0.0065204256853895,0.00855377482185206,0.00753030866458316,0.00110168480920034,0.00290775714832441,0.000723067014789092
